"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"709","04/26/2012",1707,"1K","400 W SARATOGA ST","HOMICIDE","KNIFE",121,"CENTRAL","Downtown","(39.29285, -76.62124)",1
"710","04/25/2012",2247,"1F","2500 HARLEM AV","HOMICIDE","FIREARM",723,"WESTERN","Evergreen Lawn","(39.29623, -76.65664)",1
"711","04/24/2012",2207,"1F","4100 NORFOLK AV","HOMICIDE","FIREARM",622,"NORTHWESTERN","West Forest Park","(39.32358, -76.68689)",1
"712","04/23/2012",1547,"1K","5400 HILLBURN AV","HOMICIDE","KNIFE",427,"NORTHEASTERN","Waltherson","(39.34483, -76.55443)",1
"713","04/23/2012",406,"1F","2700 BOARMAN AV","HOMICIDE","FIREARM",612,"NORTHWESTERN","Central Park Heights","(39.33866, -76.66591)",1
"714","04/23/2012",1756,"1F","1500 W NORTH AV","HOMICIDE","FIREARM",733,"WESTERN","Penn North","(39.31013, -76.64152)",1
"715","04/18/2012",58,"1F","3200 BELAIR RD","HOMICIDE","FIREARM",415,"NORTHEASTERN","Belair-Edison","(39.32089, -76.57448)",1
"716","04/17/2012",2316,"1F","1700 N SPRING ST","HOMICIDE","FIREARM",321,"EASTERN","Oliver","(39.30976, -76.59913)",1
"717","04/16/2012",2111,"1F","1300 AISQUITH ST","HOMICIDE","FIREARM",313,"EASTERN","Oliver","(39.30519, -76.60227)",1
"718","04/16/2012",2146,"1F","4700 LIBERTY HEIGHTS AV","HOMICIDE","FIREARM",626,"NORTHWESTERN","Howard Park","(39.33146, -76.6958)",1
"719","04/14/2012",1115,"1F","2000 RAYNER AV","HOMICIDE","FIREARM",723,"WESTERN","Midtown-Edmondson","(39.29692, -76.64965)",1
"720","04/14/2012",2020,"1F","400 WATTY CT","HOMICIDE","FIREARM",123,"CENTRAL","Upton","(39.30168, -76.6253)",1
"721","04/14/2012",2024,"1F","1900 ETTING ST","HOMICIDE","FIREARM",131,"CENTRAL","Druid Heights","(39.30655, -76.63526)",1
"722","04/09/2012",1000,"1F","800 JACK ST","HOMICIDE","FIREARM",913,"SOUTHERN","Brooklyn","(39.23169, -76.60073)",1
"723","04/08/2012",1804,"1F","1400 FILLMORE ST","HOMICIDE","FIREARM",411,"NORTHEASTERN","Coldstream Homestead Montebello","(39.3221, -76.60028)",1
"724","04/08/2012",2248,"1F","1400 HOLBROOK ST","HOMICIDE","FIREARM",313,"EASTERN","Oliver","(39.30649, -76.60314)",1
"725","04/07/2012",1515,"1F","1700 N CALHOUN ST","HOMICIDE","FIREARM",732,"WESTERN","Sandtown-Winchester","(39.30812, -76.64371)",1
"726","04/02/2012",2345,"1F","900 BELGIAN AV","HOMICIDE","FIREARM",525,"NORTHERN","Pen Lucy","(39.34053, -76.60324)",1
"727","04/01/2012",1401,"1F","1100 E BELVEDERE AV","HOMICIDE","FIREARM",522,"NORTHERN","Glen Oaks","(39.36011, -76.59706)",1
"728","04/01/2012",1926,"1F","1000 E 22ND ST","HOMICIDE","FIREARM",311,"EASTERN","East Baltimore Midway","(39.31383, -76.60487)",1
"729","03/30/2012",2307,"1F","900 VALLEY ST","HOMICIDE","FIREARM",315,"EASTERN","Oldtown","(39.30044, -76.60488)",1
"730","03/27/2012",52,"1F","6200 PIONEER DR","HOMICIDE","FIREARM",424,"NORTHEASTERN","Hamilton Hills","(39.36169, -76.57222)",1
"731","03/25/2012",1308,"1O","3000 BAKER ST","HOMICIDE","OTHER",814,"SOUTHWESTERN","Rosemont","(39.30591, -76.66781)",1
"732","03/25/2012",2206,"1F","4100 IDAHO AV","HOMICIDE","FIREARM",427,"NORTHEASTERN","Waltherson","(39.3405, -76.55066)",1
